Metrik,LAPANGAN USAHA,Tahun,Triwulan,Nilai,Quarter_Order,Time_Label
ADH K (Miliar Rupiah),Sektor Primer,2025,I,633.2948586376125,1,2025QI
ADH K (Miliar Rupiah),Sektor Primer,2025,II,788.4186568051598,2,2025QII
ADH K (Miliar Rupiah),Sektor Primer,2025,III,791.2982842831086,3,2025QIII
ADH K (Miliar Rupiah),Sektor Sekunder,2021,I,21988.09647925643,1,2021QI
ADH K (Miliar Rupiah),Sektor Sekunder,2021,II,21899.990563190942,2,2021QII
ADH K (Miliar Rupiah),Sektor Sekunder,2021,III,22315.605087046548,3,2021QIII
ADH K (Miliar Rupiah),Sektor Sekunder,2021,IV,22476.29647475988,4,2021QIV
ADH K (Miliar Rupiah),Sektor Sekunder,2022,I,22829.79203742103,1,2022QI
ADH K (Miliar Rupiah),Sektor Sekunder,2022,II,22763.61432639379,2,2022QII
ADH K (Miliar Rupiah),Sektor Sekunder,2022,III,23756.50243793244,3,2022QIII
ADH K (Miliar Rupiah),Sektor Sekunder,2022,IV,24172.04736014077,4,2022QIV
ADH K (Miliar Rupiah),Sektor Sekunder,2023,I,24149.19457723396,1,2023QI
ADH K (Miliar Rupiah),Sektor Sekunder,2023,II,24199.667854856263,2,2023QII
ADH K (Miliar Rupiah),Sektor Sekunder,2023,III,24647.026944258087,3,2023QIII
ADH K (Miliar Rupiah),Sektor Sekunder,2023,IV,25091.942113878344,4,2023QIV
ADH K (Miliar Rupiah),Sektor Sekunder,2024,I,25560.598946532013,1,2024QI
ADH K (Miliar Rupiah),Sektor Sekunder,2024,II,25579.44705951627,2,2024QII
ADH K (Miliar Rupiah),Sektor Sekunder,2024,III,26160.845679434777,3,2024QIII
ADH K (Miliar Rupiah),Sektor Sekunder,2024,IV,26052.13950585819,4,2024QIV
ADH K (Miliar Rupiah),Sektor Sekunder,2025,I,26711.48038962852,1,2025QI
ADH K (Miliar Rupiah),Sektor Sekunder,2025,II,27232.81848848736,2,2025QII
ADH K (Miliar Rupiah),Sektor Sekunder,2025,III,27920.532809783657,3,2025QIII
ADH K (Miliar Rupiah),Sektor Tersier,2021,I,11928.654395838275,1,2021QI
ADH K (Miliar Rupiah),Sektor Tersier,2021,II,12242.469977917495,2,2021QII
ADH K (Miliar Rupiah),Sektor Tersier,2021,III,12158.358509602513,3,2021QIII
ADH K (Miliar Rupiah),Sektor Tersier,2021,IV,13262.838816209893,4,2021QIV
